reinsurer,authorization_category,authorization_status,state,jurisdiction,years,lines,source_section,notes
Arch Reinsurance Ltd.,Certified Reinsurer,Secure-3 (20%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: Missouri
Endurance Specialty Insurance Ltd.,Certified Reinsurer,Secure-3 (20%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: Florida
Fidelis Insurance Bermuda Ltd.,Certified Reinsurer,Secure-4 (50%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: Florida
Fidelis Underwriting Ltd.,Certified Reinsurer,Secure-4 (50%),Alabama,United Kingdom,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: Florida
Hannover Ruck SE,Certified Reinsurer,Secure-2 (10%),Alabama,Germany,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: New York
RenaissanceRe Europe AG,Certified Reinsurer,Secure-3 (20%),Alabama,Switzerland,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: New York
Somers Re Ltd. (fka Watford Re Ltd.),Certified Reinsurer,Secure-4 (50%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: New Jersey
XL Bermuda Ltd.,Certified Reinsurer,Secure-2 (10%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: New York
XL Re Europe SE,Certified Reinsurer,Secure-? (10%),Alabama,Bermuda,Expires 12/31/2025,,Approved Certified Reinsurers PDF,Lead state: New York
Allied World Assurance Co. Ltd.,Certified Reinsurer,Secure-3,Arkansas,,Effective 1/1/2018 | Exp 12/31/2025,Property/Casualty,Listing of Certified Reinsurers,
Arch Reinsurance Ltd.,Certified Reinsurer,Secure-3,Arkansas,,Effective 1/1/2017 | Exp 12/31/2025,"Life, Annuities, Accident/Health, and Property/Casualty",Listing of Certified Reinsurers,
"Chubb European Group, SE",Certified Reinsurer,Secure-2,Arkansas,,Effective 1/1/2021 | Exp 12/31/2023,"Property/Casualty, Accident and Health",Listing of Certified Reinsurers,
Endurance Specialty Ins. Ltd,Certified Reinsurer,Secure-3,Arkansas,,Effective 1/1/2019 | Exp 12/31/2025,Property/Casualty,Listing of Certified Reinsurers,
Fidelis Underwriting Limited,Certified Reinsurer,Secure-4,Arkansas,,Effective 1/1/2022 | Exp 12/31/2025,Property/Casualty,Listing of Certified Reinsurers,
Hannover Ruck SE,Certified Reinsurer,Secure-2,Arkansas,,Effective 1/1/2016 | Exp 12/31/2025,"Life, Annuities, Accident/Health, and Property/Casualty",Listing of Certified Reinsurers,
Partner Reinsurance Europe SE,Certified Reinsurer,Secure-3,Arkansas,,Effective 1/1/2020 | Exp 12/31/2025,"Property/Casualty, Life, Annuities, Accident and Health",Listing of Certified Reinsurers,
Somers Re Ltd,Certified Reinsurer,Secure-4,Arkansas,,Effective 1/1/2020 | Exp 12/31/2025,Property/Casualty,Listing of Certified Reinsurers,
TransRe London Limited,Certified Reinsurer,Secure-2,Arkansas,,Effective 1/1/2017 | Exp 12/31/2025,Property/Casualty,Listing of Certified Reinsurers,
"Wilton Reinsurance Bermuda, Ltd.",Certified Reinsurer,Secure-3,Arkansas,,Effective 1/1/2019 | Exp 12/31/2023,Property/Casualty,Listing of Certified Reinsurers,
Arch Reinsurance Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Jul. 1, 2014 | Exp Dec. 31, 2026","Life, Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-3194126
Chubb European Group SE,Certified Reinsurer,Secure-2 (10%),California,France,"Initial Jan. 1, 2021 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-1320152
Chubb Tempest Reinsurance Ltd.,Certified Reinsurer,Secure-2 (10%),California,Bermuda,"Initial Jan. 1, 2014 | Exp Dec. 31, 2026","Life, Property/Casualty",Current Certified Reinsurers,CRIN CR-3190770
Convex Insurance UK Ltd.,Certified Reinsurer,Secure-4 (50%),California,United Kingdom,"Initial Jan. 1, 2022 | Exp June 24, 2025","Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1120191
Convex Insurance UK Ltd.,Certified Reinsurer,Secure-3 (20%),California,United Kingdom,"Initial June 25, 2025 | Exp Dec. 31, 2026","Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1120191
Convex Re Ltd.,Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Jan. 1, 2022 | Exp June 24, 2025",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191400
Convex Re Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial June 25, 2025 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191400
DaVinci Reinsurance Ltd.,Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Oct. 1, 2018 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3194122
"Endurance Specialty Insurance, Ltd.",Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Jan. 1, 2017 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3194130
"Endurance Specialty Insurance, Ltd.",Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Jul. 1, 2015 | Exp Dec. 31, 2016",Property/Casualty,Current Certified Reinsurers,CRIN CR-3194130
Fidelis Insurance Bermuda Limited,Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Jan. 1, 2022 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191289
Fidelis Underwriting Limited,Certified Reinsurer,Secure-4 (50%),California,United Kingdom,"Initial Jan. 1, 2022 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-1120175
Hamilton Re Ltd.,Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Jan. 1, 2021 | Exp Dec. 31, 2024",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191190
Hamilton Re Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Jan. 1, 2025 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191190
Hannover Life Reassurance Company of America (Bermuda) Ltd.,Certified Reinsurer,Secure-2 (10%),California,Bermuda,"Initial Dec. 31, 2020 | Exp Dec. 31, 2023","Life, Health and Annuities",Current Certified Reinsurers,CRIN CR-3191255
Hannover Ruck SE,Certified Reinsurer,Secure-2 (10%),California,Germany,"Initial Dec. 31, 2014 | Exp Dec. 31, 2026","Life, Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1340125
Hiscox Insurance Company (Bermuda) Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Dec. 31, 2017 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3190875
MS Amlin AG,Certified Reinsurer,Secure-3 (20%),California,Switzerland,"Initial Jan. 1, 2022 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-1460019
New Reinsurance Company Ltd.,Certified Reinsurer,Secure-2 (10%),California,Switzerland,"Initial Jan. 1, 2020 | Exp Dec. 31, 2026","Life, Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1460100
Partner Reinsurance Europe SE,Certified Reinsurer,Secure-3 (20%),California,Ireland,"Initial Jan. 1, 2020 | Exp Dec. 31, 2026","Life, Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1780078
Renaissance Re Europe AG (1),Certified Reinsurer,Secure-3 (20%),California,Switzerland,"Initial Jul. 1, 2014 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-1460023
Renaissance Reinsurance Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Oct. 1, 2018 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3190339
Somers Re Ltd. (2),Certified Reinsurer,Secure-4 (50%),California,Bermuda,"Initial Jan. 1, 2020 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191250
Swiss Reinsurance Company Ltd.,Certified Reinsurer,Secure-2 (10%),California,Switzerland,"Initial Jul. 1, 2014 | Exp Dec. 31, 2026","Life, Accident/Health, Property/Casualty",Current Certified Reinsurers,CRIN CR-1460021
Underwriters at Lloyd’s London,Certified Reinsurer,Secure-3 (20%),California,United Kingdom,"Initial Jul. 1, 2015 | Exp Dec. 31, 2022",Property/Casualty,Current Certified Reinsurers,CRIN AA-1122000
Wilton Reinsurance Bermuda Limited,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Jan. 1, 2019 | Exp Dec. 31, 2023","Life, Accident/Health",Current Certified Reinsurers,CRIN CR-3190878
XL Bermuda Ltd.,Certified Reinsurer,Secure-3 (20%),California,Bermuda,"Initial Jan. 1, 2018 | Exp Dec. 31, 2020",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191315
XL Bermuda Ltd.,Certified Reinsurer,Secure-2 (10%),California,Bermuda,"Initial Jan. 1, 2021 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-3191315
XL Re Europe SE,Certified Reinsurer,Secure-2 (10%),California,Ireland,"Initial Jan. 1, 2023 | Exp Dec. 31, 2026",Property/Casualty,Current Certified Reinsurers,CRIN CR-1780072
Arch Reinsurance Ltd. (Bermuda),Certified Reinsurer,Secure-3,Connecticut,Bermuda,Initial 04/27/2015 | Exp 12/31/2026,"Life, Annuities, Accident & Health, Property & Casualty",CT Certified Reinsurers,
CHUBB European Group SE,Certified Reinsurer,Secure-2,Connecticut,France,Initial 01/14/2021 | Exp 12/31/2026,"Accident & Health, Property & Casualty",CT Certified Reinsurers,
DaVinci Reinsurance Ltd.,Certified Reinsurer,Secure-3,Connecticut,Bermuda,Initial 11/21/2018 | Exp 12/31/2026,Property & Casualty and Accident & Health,CT Certified Reinsurers,
Endurance Specialty Insurance Ltd.,Certified Reinsurer,Secure-3,Connecticut,Bermuda,Initial 12/30/2015 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Fidelis Insurance Bermuda Limited,Certified Reinsurer,Secure-4,Connecticut,Bermuda,Initial 01/01/2022 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Fidelis Underwriting Ltd,Certified Reinsurer,Secure-4,Connecticut,United,Initial 01/01/2022 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
General Reinsurance AG,Certified Reinsurer,Secure-2,Connecticut,Germany,Initial 11/19/2020 | Exp 12/31/2023 Not renewing for 2025,Life & Health including Annuities,CT Certified Reinsurers,Not renewing
Hannover Life Reassurance Company of America (Bermuda) Ltd.,Certified Reinsurer,Secure-2,Connecticut,Bermuda,Initial 11/21/2018 | Exp 12/31/2026,Life & Health including Annuities,CT Certified Reinsurers,
Hannover Rück SE,Certified Reinsurer,Secure-2,Connecticut,Germany,Initial 05/22/2014 | Exp 12/31/2026,"Life, Annuities, Accident & Health, Property & Casualty",CT Certified Reinsurers,
Hiscox Insurance Company (Bermuda) Limited,Certified Reinsurer,Secure-3,Connecticut,Bermuda,Initial 08/15/2017 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Renaissance Reinsurance Ltd.,Certified Reinsurer,Secure-3,Connecticut,Bermuda,Initial 11/21/2018 | Exp 12/31/2026,Property & Casualty and Accident & Health,CT Certified Reinsurers,
RenaissanceRe Europe AG f/k/a Tokio Millennium Re AG,Certified Reinsurer,Secure-3,Connecticut,Switzerland,Initial 05/14/2015 | Exp 12/31/2026,Property & Casualty and Accident & Health,CT Certified Reinsurers,
"Somers Re, Ltd (f/k/a Watford Re, Ltd.)",Certified Reinsurer,Secure-4,Connecticut,Bermuda,Initial 03/16/2020 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Swiss Reinsurance Company Ltd.,Certified Reinsurer,Secure-2,Connecticut,Switzerland,Initial 03/19/2018 | Exp 12/31/2026,"Life, Annuities, Accident & Health, Property & Casualty",CT Certified Reinsurers,
TransRe London Limited,Certified Reinsurer,Secure-2,Connecticut,United,Initial 05/09/2017 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Wilton Reinsurance Bermuda Limited,Certified Reinsurer,Secure-4,Connecticut,Bermuda,Initial 06/07/2019 | Exp 12/31/2024 Not renewing for 2025,Life & Annuities,CT Certified Reinsurers,Not renewing
XL Bermuda Ltd.,Certified Reinsurer,Secure-2,Connecticut,Bermuda,Initial 01/01/2019 | Exp 12/31/2026,Property & Casualty,CT Certified Reinsurers,
Chubb European Group SE,Certified Reinsurer,Secure-2 (10%),District of Columbia,France,01/01/2024-12/31/2024,Property and Casualty,Approved Certified Reinsurers PDF (2024),
Somers Re Ltd.,Certified Reinsurer,Secure-2 (10%),District of Columbia,Bermuda,01/01/2024-12/31/2024,Property and Casualty,Approved Certified Reinsurers PDF (2024),
"Allied World Assurance Company, Ltd.",Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order
Arch Reinsurance Ltd.,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release Hurricane Irma Hurricane Ian
Aspen Bermuda Ltd. (f/k/a Aspen Insurance Ltd.),Certified Reinsurer,Secure-4,Florida,,,,Certified Reinsurers table,Consent Order Press Release Hurricane Ian
Chubb European Group SE,Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Approval Letter
Chubb Tempest Reinsurance Ltd. (f/k/a Ace Tempest Reinsurance Ltd.),Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order Letter - Name Change Press Release Hurricane Irma Hurricane Michael
DaVinci Reinsurance Ltd.,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,"Consent Order Press Release Hurricanes Delta, Zeta, Eta Hurricane Sally Hurricane Laura Hurricane Irma Hurricane Florence Hurricane Michael Hurricane Dorian Hurricane Ida Hurricane Ian"
"Endurance Specialty Insurance, Ltd.",Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release
Fidelis Insurance Bermuda Limited,Certified Reinsurer,Secure-4,Florida,,,,Certified Reinsurers table,Approval Letter
Fidelis Underwriting Limited,Certified Reinsurer,Secure-4,Florida,,,,Certified Reinsurers table,Approval Letter
"Hamilton Re, Ltd.",Certified Reinsurer,Secure-4,Florida,,,,Certified Reinsurers table,Approval Letter
Hannover Life Reassurance Company of America (Bermuda) Ltd.,Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order
Hannover Re (Bermuda) Ltd.,Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order
Hannover Ruck SE (f/k/a Hannover Ruckversicherung AG),Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order Letter - Name Change Press Release
Hiscox Insurance Company (Bermuda) Limited,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release Hurricane Ian
Markel Bermuda Limited (f/k/a Alterra Bermuda Limited),Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release Hurricane Irma
Partner Reinsurance Company Ltd.,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release
Partner Reinsurance Europe SE,Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order
Renaissance Reinsurance Ltd.,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,"Consent Order Press Release Hurricanes Delta, Zeta, Eta Hurricane Sally Hurricane Laura Hurricane Irma Hurricane Florence Hurricane Michael Hurricane Dorian Hurricane Ida Hurricane Ian"
RenaissanceRe Europe AG (f/k/a Tokio Millennium Re AG),Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Letter - Name Change Press Release Hurricane Ida Hurricane Ian
Somers Re Ltd.,Certified Reinsurer,Secure-4,Florida,,,,Certified Reinsurers table,Approval Letter
Somerset Reinsurance Ltd.,Certified Reinsurer,Secure-5,Florida,,,,Certified Reinsurers table,Consent Order
Swiss Reinsurance Company Ltd.,Certified Reinsurer,Secure-2,Florida,,,,Certified Reinsurers table,Consent Order
"Validus Reinsurance, Ltd.",Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order Press Release Hurricane Irma Hurricane Florence Hurricane Michael
Wilton Reinsurance Bermuda Limited,Certified Reinsurer,Secure-3,Florida,,,,Certified Reinsurers table,Consent Order
