reinsurer,authorization_category,authorization_status,state,jurisdiction,years,lines,source_section,notes
ACE INA Overseas Insurance Company Ltd.,Certified Reinsurer,Approved (CRIN listing),Alabama,Austria,01/01/2024-12/31/2024,"Accident & Health, Property & Casualty",Approved Certified Reinsurers PDF,Approval Letter
ALLIANZ Global & Corporate Specialty SE,Reciprocal Jurisdiction Reinsurer,Listed,Alaska,AZ,"2022, 2023, 2024, 2025, 2026","Accident/Health, Property/Casualty",Approved Certified Reinsurers PDF (2024),Consent Order
Allianz Global Corporate & Specialty SE,,Listed (Reciprocal CRIN),Arizona,Bermuda,"2022, 2023, 2024, 2026","Annuities, A&H",Certifications for 2025,Consent Order Letter - Name Change Press Release
Allied World Assurance Co. Ltd.,,Listed for 2026,Arkansas,Czech Republic,"2022, 2025, 2026","Annuities, General Insurance",Certified Reinsurers table,Consent Order Letter - Name Change Press Release Hurricane Ida Hurricane Ian
"Allied World Assurance Company, Ltd.",,Secure-2,California,France,"2023, 2024, 2025, 2026",Annuity,CT Certified Reinsurers,Consent Order Letter - Name Change Press Release Hurricane Irma
"AmTrust International Insurance, Ltd",,Secure-2 (10%),Colorado,Germany,"2023, 2024, 2026","Annuity, Life",Current Certified Reinsurers,Consent Order Letter - Name Change Press Release Hurricane Irma Hurricane Michael
"AmTrust International Insurance, Ltd.",,Secure-3,Connecticut,IA,"2023, 2025, 2026",Fixed Annuity Reinsurance,List of approved Certified Reinsurers,Consent Order Press Release
Arch Group Reinsurance Limited,,Secure-3 (10%),Delaware,Ireland,"2024, 2025, 2026",Life,List of Reciprocal Jurisdiction Reinsurers,Consent Order Press Release Hurricane Ian
ARCH GROUP REINSURANCE LTD.,,Secure-3 (20%),District of Columbia,Italy,"2025, 2026",Life & Annuities,Listing of Certified Reinsurers,Consent Order Press Release Hurricane Irma
"Arch Reinsurance Ltd, Pembroke, Bermuda",,Secure-4,Florida,Japan,2026,Life & Annuity,NAIC CRIN Public Report (Certified),Consent Order Press Release Hurricane Irma Hurricane Florence Hurricane Michael
Arch Reinsurance Ltd.,,Secure-4 (50%),Georgia,Luxembourg,Effective 01-08-2014 | Exp 12-31-2026,"Life & Annuity, A&H",NAIC CRIN Public Report (Reciprocal),Consent Order Press Release Hurricane Irma Hurricane Ian
Arch Reinsurance Ltd. (Bermuda),,Secure-5,Hawaii,Spain,Effective 01-28-2020 | Exp 12-31-2026,"Life & Annuity, Accident & Health",Reciprocal Jurisdiction Reinsurers table,"Consent Order Press Release Hurricanes Delta, Zeta, Eta Hurricane Sally Hurricane Laura Hurricane Irma Hurricane Florence Hurricane Michael Hurricane Dorian Hurricane Ida Hurricane Ian"
"Arch Reinsurance, Ltd.",,Secure-5 (75%),Idaho,Sweden,Effective 01-31-2023 | Exp 12-31-2026,"Life & Annuity, Accident & Health, and Property & Casualty",,CRIN AA-1122000
Arundo Re,,Secure-? (10%),Illinois,Switzerland,Effective 01/01/2026,Life & Health including Annuities,,CRIN CR-1120175
Ascot Bermuda Limited,,,Indiana,United,Effective 01/07/2026,"Life & Health, P/C",,CRIN CR-1120191
Ascot Bermuda Ltd,,,Iowa,United Kingdom,Effective 02-05-2024 | Exp 12-31-2026,Life and Annuity,,CRIN CR-1320152
Aspen Bermuda Limited,,,Kansas,,Effective 03-03-2022 | Exp 12-31-2026,Life and Non-Life,,CRIN CR-1340125
Aspen Bermuda Ltd. (f/k/a Aspen Insurance Ltd.),,,Kentucky,,Effective 03-05-2014 | Exp 12-31-2026,"Life, A&H, P&C",,CRIN CR-1460019
"Aspen Bermuda, Ltd.",,,Louisiana,,Effective 03-12-2025 | Exp 12-31-2026,"Life, Accident/Health",,CRIN CR-1460021
Aspida Life Re Ltd,,,Maine,,Effective 03-28-2024 | Exp 12-31-2026,"Life, Accident/Health, Property/Casualty",,CRIN CR-1460023
Aspida Life Re Ltd.,,,Maryland,,Effective 03-30-2017 | Exp 12-31-2026,"Life, Annuities, A&H",,CRIN CR-1460100
Assicurazioni Generali S.p.A.,,,Massachusetts,,Effective 03/13/2024,"Life, Annuities, A&H, P&C",,CRIN CR-1780072
"Assicurazioni Generali, S.p.A",,,Michigan,,Effective 03/16/2026,"Life, Annuities, Accident & Health, Property & Casualty",,CRIN CR-1780078
Athene Annuity and Life Company,,,Minnesota,,Effective 03/19/2026,"Life, Annuities, Accident and Health",,CRIN CR-3190339
Athene Annuity Re Ltd,,,Mississippi,,Effective 03/25/2024,"Life, Annuities, Accident/Health",,CRIN CR-3190770
Athene Annuity Re Ltd.,,,Missouri,,Effective 05-02-2023 | Exp 12-31-2026,"Life, Annuities, Accident/Health, and Property/Casualty",,CRIN CR-3190875
Athene Life Re Ltd.,,,Montana,,Effective 05-05-2025 | Exp 12-31-2026,"Life, Annuities, Accident/Health, Property/Casualty",,CRIN CR-3190878
"Athene Life Re, Ltd.",,,Nebraska,,Effective 05-12-2014 | Exp 12-31-2026,"Life, Annuity",,CRIN CR-3191190
Aviva Insurance Limited,,,Nevada,,Effective 05-13-2024 | Exp 12-31-2026,"Life, Annuity, A&H",,CRIN CR-3191250
AXA S.A.,,,New Hampshire,,Effective 05-18-2022 | Exp 12-31-2026,"Life, Annuity, A&H, P/C",,CRIN CR-3191255
AXA XL Reinsurance Ltd,,,New Jersey,,Effective 05/08/2025,"Life, Annuity, A&H, Property/Casualty",,CRIN CR-3191289
AXA XL Reinsurance Ltd.,,,New Mexico,,Effective 06-23-2015 | Exp 12-31-2026,"Life, Annuity, Accident",,CRIN CR-3191315
AXIS Specialty Limited,,,New York,,Effective 06-27-2024 | Exp 12-31-2026,"Life, Health and Annuities",,CRIN CR-3191400
AXIS Specialty Ltd,,,North Carolina,,Effective 07-19-2023 | Exp 12-31-2026,"Life, Health, and Annuities",,CRIN CR-3194122
Axis Specialty Ltd.,,,North Dakota,,Effective 07-29-2025 | Exp 12-31-2026,"Life, Health, Property, Casualty",,CRIN CR-3194126
Brit Reinsurance (Bermuda) Limited,,,Ohio,,Effective 08-26-2025 | Exp 12-31-2026,"Life, Health, Property/Casualty",,CRIN CR-3194130
Canada Life Intl. Reinsurance Corp. Limited,,,Oklahoma,,Effective 08-28-2024 | Exp 12-31-2026,"Life, Property/Casualty",,ID A-1320125
Canopius Reinsurance Limited,,,Oregon,,Effective 08-31-2022 | Exp 12-31-2026,P&C,,ID AA-1120159
Cavello Bay Reinsurance Limited,,,Pennsylvania,,Effective 09-06-2022 | Exp 12-31-2026,"P&C, A&H",,ID AA-1120175
Cavello Bay Reinsurance Ltd,,,Rhode Island,,Effective 09-12-2018 | Exp 12-31-2026,P/C,,ID AA-1340125
CHUBB European Group SE,,,South Carolina,,Effective 09-20-2023 | Exp 12-31-2026,"P/C, Life, A&H",,ID AA-1340165
Chubb European Group SE,,,South Dakota,,Effective 09-26-2024 | Exp 12-31-2026,Property & Casualty,,ID AA-1460023
"Chubb European Group SE, Courbevoie, France",,,Tennessee,,Effective 09-30-2025 | Exp 12-31-2026,Property & Casualty and Accident & Health,,ID AA-1460146
"Chubb European Group, SE",,,Texas,,Effective 1/02/2024,"Property & Casualty, Life, Annuities, Accident & Health",,ID AA-1780072
"Chubb Tempest Reinsurance Ltd, Hamilton, Bermuda",,,Utah,,Effective 1/09/2020,Property and Casualty,,ID AA-3190875
Chubb Tempest Reinsurance Ltd.,,,Vermont,,Effective 1/1/2016 | Exp 12/31/2025,"Property Catastrophe, Property, Casualty, Accident and Health and Life reinsurance",,ID AA-3191250
Chubb Tempest Reinsurance Ltd. (f/k/a Ace Tempest Reinsurance Ltd.),,,Virginia,,Effective 1/1/2017 | Exp 12/31/2025,Property/Casualty,,ID AA-3191289
"Chubb Tempest Reinsurance, Ltd.",,,Washington,,Effective 1/1/2018 | Exp 12/31/2025,Property/Casualty and A&H,,ID AA-3191315
Coface Re SA,,,West Virginia,,Effective 1/1/2019,Property/Casualty and Life & Health,,ID AA-3194126
Conduit Reinsurance Limited,,,Wisconsin,,Effective 1/1/2019 | Exp 12/31/2023,"Property/Casualty, A&H",,ID AA-3194130
Convex Insurance UK Limited,,,Wyoming,,Effective 1/1/2019 | Exp 12/31/2025,"Property/Casualty, Accident & Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://cca.hawaii.gov/wp-content/uploads/2026/01/Uniform-Checklist-for-Reciprocal-Reinsurers.pdf
Convex Insurance UK Ltd,,,,,Effective 1/1/2020 | Exp 12/31/2025,"Property/Casualty, Accident and Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://dfr.vermont.gov/industry/insurance/company-licensing/how-apply
Convex Insurance UK Ltd.,,,,,Effective 1/1/2021 | Exp 12/31/2023,"Property/Casualty, Life",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://difi.az.gov/sites/default/files/Reinsurer%20E-CR-INFO%20Info%2020240729.pdf
Convex Re Limited,,,,,Effective 1/1/2022,"Property/Casualty, Life & Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://doi.colorado.gov/types-of-insurance/health-insurance/health-insurance-initiatives/reinsurance-program
Convex Re Ltd,,,,,Effective 1/1/2022 | Exp 12/31/2025,"Property/Casualty, Life, Accident and Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://idoi.illinois.gov/companies/reinsurers.html
Convex Re Ltd.,,,,,Effective 1/17/2023,"Property/Casualty, Life, and A&H",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://iid.iowa.gov/list-reciprocal-jurisdiction-reinsurers
"Corebridge Insurance Company of Bermuda, Ltd",,,,,Effective 1/18/2023,"Property/Casualty, Life, Annuities, Accident and Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://insurance.ky.gov/ppc/newstatic_Info.aspx?static_ID=648
DaVinci Reinsurance Ltd.,,,,,Effective 1/24/2023,"Property/Casualty, Life, Health",,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://insurance.maryland.gov/Insurer/Pages/InsurerLicensing.aspx
"DaVinci Reinsurance Ltd., Pembroke, Bermuda",,,,,Effective 1/26/2024,,,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://insurance.mo.gov/company-changes
"DaVinci Reinsurance, Ltd.",,,,,Effective 1/30/2023,,,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://isiteplus.naic.org/crin-report/crinReportPublic.xhtml
DEVK Re,,,,,Effective 1/7/2022,,,Lead state: AR; AA: AA-1780078; RJ: RJ-1780078; Link: https://oci.wi.gov/Pages/Companies/ReciprocalJurisdictionReinsurers.aspx
